"";"Participation";"File";"Species";"Prob";"tdeb";"tfin";"DecDeb";"DecFin";"Dec10";"Dec90";"DecMin";"DecMax";"Int50";"Int25"
"TrajTot";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_215611_927";"Pippip";"0.782";"0";"5";"-0.00750000000698492";"-0.00742000000172993";"-0.00933200000436045";"-0.00743400000501424";"-0.00934000001871027";"-0.00716999999713153";"194.17";"110.33"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_221658_287";"Pippip";"0.844";"0";"1.7";"0.00815999999758787";"0.00750499999412568";"0.00770599999232218";"0.00873599999758881";"0.00716999999713153";"0.00900000000547152";"96.16";"73.17"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160907_A89_FRA_AGR_0400_015_017601_0_20160907_233145_811";"Pippip";"0.87";"0.1";"5";"0.00758499999210471";"0.00805666666807762";"0.00773399999598041";"0.00850000001082662";"0.007499999992433";"0.00916000000142958";"187.17";"105.085"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_221818_808";"Pippip";"0.872";"0";"4.9";"0.00783500000397908";"0.00160999999692043";"0.00208500000007916";"0.00842000000557164";"0.000659999990602955";"0.00850000001082662";"182.42";"177.255"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_235952_907";"Pippip";"0.804";"0.1";"4.6";"0.00675000000774162";"0.00550000000415215";"0.00566999999864493";"0.00743400000501424";"0.00516000001516659";"0.0113300000084564";"179.17";"123.66"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160907_003917_539";"Pippip";"0.892";"0";"5";"-0.00958499999956075";"-0.00388999999980418";"-0.00994899999982408";"-0.00420099999987542";"-0.0101599999993596";"-0.00299999999970169";"99.2449999999999";"88.4625000000001"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160908_A89_FRA_AGR_0400_015_017601_0_20160909_031221_885";"Pippip";"0.81";"0";"3.8";"-0.000249999999141437";"0.00644333333305743";"0.000331999999616528";"0.00665999999910127";"-0.000499999998282874";"0.0069999999996071";"112.83";"102.75"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160907_A89_FRA_AGR_0400_015_017601_0_20160908_014544_514";"Pippip";"0.864";"0.6";"5";"0.00405666666786904";"0.00591500000064116";"0.00400000000081491";"0.00783000000046741";"-0.0121600000002218";"0.00850000000082218";"93";"57.5"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160907_A89_FRA_AGR_0400_015_017601_0_20160907_210448_305";"Pippip";"0.846";"0.2";"4.5";"0.0079999999870779";"0.00527333331895837";"0.00536299998639151";"0.0079999999870779";"0.00465999999141786";"0.00815999998303596";"129.25";"90.8299999999999"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_234005_927";"Pippip";"0.89";"0";"4.6";"-0.00833000001148321";"-0.00908500000514323";"-0.00933700000750832";"-0.00848000000987668";"-0.00934000000415836";"-0.00833000001148321";"184.67";"180.085"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_225437_137";"Pippip";"0.6";"0";"1.7";"0.0088300000061281";"0.00891499999852385";"0.00884700000460725";"0.00898299999244045";"0.0088300000061281";"0.0089999999909196";"150.75";"127.625"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160908_A89_FRA_AGR_0400_015_017601_0_20160908_224105_881";"Pippip";"0.688";"0";"0.7";"0.00516000000061467";"0.00524500000028638";"0.00517700000054901";"0.00531300000002375";"0.00516000000061467";"0.00532999999995809";"222";"222"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160907_A89_FRA_AGR_0400_015_017601_0_20160907_210443_305";"Pippip";"0.868";"0";"4.3";"0.00622333333012648";"0.0079999999870779";"0.00549999999930151";"0.0079999999870779";"0.0049999999901047";"0.00816999998642132";"96.1599999999999";"89.8400000000001"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_225339_592";"Pippip";"0.762";"0";"4.4";"0.00433500000508502";"0.00655666667444166";"0.00493400000559632";"0.0073300000076415";"0.00400000000081491";"0.00734000001102686";"180.5";"107.585"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160907_A89_FRA_AGR_0400_015_017601_0_20160907_214246_583";"Pippip";"0.842";"0";"3.8";"0.00716999999713153";"0.00527999999758322";"0.0028840000013588";"0.00849999999627471";"-0.00650000000314321";"0.00866999999561813";"94.83";"92.5"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_222036_328";"Pippip";"0.798";"0";"3.7";"0.00282999999762978";"0.00124999998661224";"0.00134999998554122";"0.0027179999902728";"0.00099999998928979";"0.00282999999762978";"272.42";"134.4575"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160907_A89_FRA_AGR_0400_015_017601_0_20160907_214241_583";"Pippip";"0.768";"0.5";"5";"0.00358000000414904";"0.00633666666302209";"0.00362800000293646";"0.00633200000156648";"0.00333000000682659";"0.00633999999263324";"91.3299999999999";"88"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160908_A89_FRA_AGR_0400_015_017601_0_20160908_215534_112";"Pippip";"0.876";"0";"4";"0.00208500000007916";"-0.00605333333078306";"-0.00606399999232963";"0.00166800000006333";"-0.00682999999844469";"0.00250000000232831";"97.17";"93.6700000000001"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_220946_036";"Pippip";"0.732";"1.6";"5";"-0.00817000001552515";"-0.00408500000776257";"-0.00805100001598475";"-0.00425100000866223";"-0.00817000001552515";"-0.00367000000551343";"185.085";"164.33"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160907_A89_FRA_AGR_0400_015_017601_0_20160908_014619_514";"Pippip";"0.852";"0";"4.8";"0.0062500000003638";"0.00750000000092162";"0.00610000000033324";"0.00850000000064029";"0.00600000000031287";"0.00917000000117696";"103.25";"69.4175"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160907_024705_734";"Pippip";"0.744";"0";"4.8";"-0.00583000000005995";"-0.000584999999773572";"-0.00500000000010914";"-0.000584999999773572";"-0.00583000000005995";"-0.000340000000505825";"186.835";"141.295"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160907_010424_797";"Pippip";"0.642";"1.3";"4.8";"-0.00817000000006374";"-0.00733000000013817";"-0.0081670000000031";"-0.00713000000018837";"-0.00817000000006374";"-0.00683000000026368";"333.84";"259.63"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160907_001121_173";"Pippip";"0.808";"0";"4.8";"0.00683500000008053";"0.00761333333340038";"0.00703300000005811";"0.00815300000006118";"0.00667000000009921";"0.00850000000014006";"131.415";"108.71"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_214430_920";"Pippip";"0.854";"3.7";"4.8";"0.000670000008540228";"0.000755000000935979";"0.000670000008540228";"0.00080599999637343";"0.000670000008540228";"0.00083999999333173";"162.17";"161.17"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160908_A89_FRA_AGR_0400_015_017601_0_20160908_224100_881";"Pippip";"0.85";"0.1";"5";"0.00858499999594642";"0.00505666667110442";"0.00512800000142306";"0.00849999999918509";"0.00500000000465661";"0.00866999999561813";"170.25";"110.165"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_232911_376";"Pippip";"0.818";"0";"4.9";"-0.00849499999458203";"-0.000113333328044973";"-0.00811199999443488";"-0.000200999993830919";"-0.00882999999157619";"0.00050000000919681";"187.835";"159.75"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_230633_744";"Pippip";"0.734";"0";"4.7";"-0.00999999999476131";"0.000915000011445954";"-0.00547199999855366";"0.000768000009702518";"-0.00999999999476131";"0.00116000001435168";"198.835";"116.58"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160907_004750_499";"Pippip";"0.53";"0";"4.5";"0.000500000000101863";"-0.000749999999925421";"-0.000733999999920343";"0.000302000000192493";"-0.000829999999950815";"0.000500000000101863";"294.67";"199.915"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160907_002126_393";"Pippip";"0.636";"1";"5";"0.00283500000011827";"-0.00344666666668066";"-0.00329799999999523";"0.00233400000006441";"-0.003840000000082";"0.00317000000018197";"174.66";"125"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160907_A89_FRA_AGR_0400_015_017601_0_20160907_233150_811";"Pippip";"0.862";"0";"4.6";"0.00766000000294298";"0.00466999999480322";"0.00366799999610521";"0.00753200000617653";"-0.000339999998686835";"0.00766000000294298";"100.83";"91.8375"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160907_A89_FRA_AGR_0400_015_017601_0_20160908_014614_514";"Pippip";"0.808";"2.4";"4.9";"0.00450000000000728";"0.00566500000059023";"-0.00225000000000364";"0.00566500000104497";"-0.00900000000001455";"0.00583000000096945";"178.835";"171.92"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_235653_629";"Pippip";"0.794";"0";"5";"-0.000330000002577435";"-0.00016666666973227";"-0.00100000000384171";"-0.000165000004926696";"-0.00117000000318512";"-0.00015999999595806";"187.335";"166.04"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_234000_927";"Pippip";"0.846";"1.9";"4.9";"0.000499999994644895";"-0.00717000001168344";"-0.00703600001288578";"-0.000196000005234964";"-0.00784000000567175";"0.000499999994644895";"189.16";"102.165"
"Trajtemp";"57efb39e131d0a000d1cd0b1";"Car420421-2016-Pass1-Z11-15-160906_A89_FRA_AGR_0400_015_017601_0_20160906_225617_195";"Pippip";"0.728";"0";"4.4";"0.00650500000483589";"0.00689000000905556";"0.00640600000624545";"0.00817000000097323";"0.00617000000784174";"0.00817000001552515";"199";"126.5"
